page,page_num,winner_filename,selection_method,winner_score,layout_type,ad_type,category
page_112,112,page_112_semantic_2.csv,SCORE_TIED_RECENCY,80.39,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_113,113,page_113_semantic_2.csv,SCORE_TIED_RECENCY,81.35,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_114,114,page_114_semantic_3.csv,SCORE_TIED_RECENCY,78.69,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_115,115,page_115_semantic_2.csv,SCORE_CLEAR,78.63,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_116,116,page_116_semantic_3.csv,SCORE_CLEAR,80.92,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_117,117,page_117_semantic_3.csv,SCORE_TIED_RECENCY,80.15,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_118,118,page_118_semantic_3.csv,SCORE_TIED_RECENCY,78.97,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_119,119,page_119_semantic_3.csv,SCORE_TIED_RECENCY,80.83,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_120,120,page_120_semantic_2.csv,SCORE_TIED_RECENCY,80.41,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_121,121,page_121_semantic_3.csv,SCORE_TIED_RECENCY,81.82,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_122,122,page_122_semantic_3.csv,SCORE_TIED_RECENCY,76.13,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_123,123,page_123_semantic_2.csv,SCORE_TIED_RECENCY,79.18,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_124,124,page_124_semantic_3.csv,SCORE_CLEAR,76.18,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_125,125,page_125_semantic_2.csv,SCORE_TIED_RECENCY,74.75,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_126,126,page_126_semantic_2.csv,SCORE_CLEAR,75.53,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_127,127,page_127_semantic_2.csv,SCORE_CLEAR,72.47,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_128,128,page_128_semantic_3.csv,SCORE_TIED_RECENCY,79.51,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_129,129,page_129_semantic_3.csv,SCORE_CLEAR,76.38,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_130,130,page_130_semantic_1.csv,SINGLE,75.08,COMPLEX_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_131,131,page_131_semantic_3.csv,SCORE_TIED_RECENCY,67.64,SIMPLE_LAYOUT,FULL_AD,FULL_AD (hardcoded)
page_132,132,page_132_semantic_2.csv,SCORE_CLEAR,71.35,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_133,133,page_133_semantic_2.csv,SCORE_TIED_RECENCY,73.86,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_134,134,page_134_semantic_3.csv,SCORE_CLEAR,76.27,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_135,135,page_135_semantic_3.csv,SCORE_CLEAR,77.58,COMPLEX_LAYOUT,OTHER_UNPARSED,COMPLEX_LAYOUT: OTHER_UNPARSED
page_136,136,page_136_semantic_2.csv,SCORE_CLEAR,76.0,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_137,137,page_137_semantic_2.csv,SCORE_CLEAR,74.22,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_138,138,page_138_semantic_3.csv,SCORE_CLEAR,77.27,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_139,139,page_139_semantic_3.csv,SCORE_CLEAR,76.78,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_140,140,page_140_semantic_2.csv,SCORE_TIED_RECENCY,74.8,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_141,141,page_141_semantic_3.csv,SCORE_TIED_RECENCY,76.94,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_142,142,page_142_semantic_3.csv,SCORE_TIED_RECENCY,81.21,SIMPLE_LAYOUT,NO_AD,SIMPLE_LAYOUT (auto NO_AD)
page_143,143,page_143_semantic_2.csv,SCORE_TIED_RECENCY,80.97,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_144,144,page_144_semantic_3.csv,SCORE_TIED_RECENCY,75.62,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_145,145,page_145_semantic_3.csv,SCORE_TIED_RECENCY,74.57,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_146,146,page_146_semantic_3.csv,SCORE_TIED_RECENCY,78.78,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_147,147,page_147_semantic_3.csv,SCORE_TIED_RECENCY,79.24,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_148,148,page_148_semantic_3.csv,SCORE_TIED_RECENCY,74.89,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_149,149,page_149_semantic_3.csv,SCORE_TIED_RECENCY,77.05,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_150,150,page_150_semantic_3.csv,SCORE_TIED_RECENCY,75.36,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_151,151,page_151_semantic_2.csv,SCORE_CLEAR,75.68,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_152,152,page_152_semantic_3.csv,SCORE_CLEAR,79.0,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_153,153,page_153_semantic_2.csv,SCORE_TIED_RECENCY,76.05,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_154,154,page_154_semantic_2.csv,SCORE_TIED_RECENCY,76.74,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_155,155,page_155_semantic_2.csv,SCORE_TIED_RECENCY,78.58,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_156,156,page_156_semantic_3.csv,SCORE_TIED_RECENCY,81.78,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_157,157,page_157_semantic_2.csv,SCORE_TIED_RECENCY,79.74,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_158,158,page_158_semantic_3.csv,SCORE_TIED_RECENCY,72.76,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_159,159,page_159_semantic_2.csv,SCORE_TIED_RECENCY,79.31,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_160,160,page_160_semantic_2.csv,SCORE_TIED_RECENCY,76.51,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_162,162,page_162_semantic_3.csv,SCORE_TIED_RECENCY,77.18,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_163,163,page_163_semantic_2.csv,SCORE_CLEAR,75.55,COMPLEX_LAYOUT,NO_AD,COMPLEX_LAYOUT: NO_AD
page_164,164,page_164_semantic_3.csv,SCORE_TIED_RECENCY,78.99,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_165,165,page_165_semantic_3.csv,SCORE_TIED_RECENCY,80.17,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_166,166,page_166_semantic_3.csv,SCORE_TIED_RECENCY,77.06,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_167,167,page_167_semantic_1.csv,SCORE_CLEAR,81.56,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_168,168,page_168_semantic_2.csv,SCORE_TIED_RECENCY,77.44,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_169,169,page_169_semantic_2.csv,SCORE_TIED_RECENCY,77.21,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_171,171,page_171_semantic_3.csv,SCORE_TIED_RECENCY,76.04,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_172,172,page_172_semantic_2.csv,SCORE_CLEAR,76.07,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_173,173,page_173_semantic_3.csv,SCORE_TIED_RECENCY,74.76,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_174,174,page_174_semantic_2.csv,SCORE_TIED_RECENCY,79.01,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_175,175,page_175_semantic_2.csv,SCORE_TIED_RECENCY,78.59,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_176,176,page_176_semantic_3.csv,SCORE_TIED_RECENCY,76.99,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_177,177,page_177_semantic_3.csv,SCORE_TIED_RECENCY,75.26,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_178,178,page_178_semantic_2.csv,SCORE_TIED_RECENCY,80.02,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_179,179,page_179_semantic_3.csv,SCORE_TIED_RECENCY,78.91,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_180,180,page_180_semantic_3.csv,SCORE_TIED_RECENCY,79.35,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
