page,page_num,winner_filename,selection_method,winner_score,layout_type,ad_type,category
page_233,233,page_233_semantic_3.csv,SCORE_TIED_RECENCY,79.26,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_234,234,page_234_semantic_2.csv,SCORE_TIED_RECENCY,75.55,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_235,235,page_235_semantic_3.csv,SCORE_TIED_RECENCY,75.13,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_236,236,page_236_semantic_3.csv,SCORE_CLEAR,79.37,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_237,237,page_237_semantic_2.csv,SCORE_TIED_RECENCY,80.44,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_238,238,page_238_semantic_3.csv,SCORE_TIED_RECENCY,75.0,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_239,239,page_239_semantic_3.csv,SCORE_TIED_RECENCY,74.32,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_240,240,page_240_semantic_3.csv,SCORE_TIED_RECENCY,80.81,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_241,241,page_241_semantic_3.csv,SCORE_CLEAR,79.52,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_242,242,page_242_semantic_3.csv,SCORE_TIED_RECENCY,78.72,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_243,243,page_243_semantic_2.csv,SCORE_TIED_RECENCY,75.4,COMPLEX_LAYOUT,OTHER_UNPARSED,COMPLEX_LAYOUT: OTHER_UNPARSED
page_244,244,page_244_semantic_2.csv,SCORE_TIED_RECENCY,77.59,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
page_245,245,page_245_semantic_3.csv,SCORE_TIED_RECENCY,76.75,COMPLEX_LAYOUT,PARTIAL_AD,COMPLEX_LAYOUT: PARTIAL_AD
