Name,Address,Location,Role,Additional Info,page,page_num,reason,source,Profession
IGNAZIO GABRIELE TAPPONUI,S. Marco,,Patriarca di Antiochia dei Siri,tit. dei Santi XII Apostoli,37,37,out_of_scope_vatican,nb05_unmatched,
NORMANNO GILROY,SS. Quattro Coronaji,,Arc. Sydney,ORDINE DEI DIACONI,37,37,out_of_scope_vatican,nb05_unmatched,
FRANCESCO SPELLMAN,"tit, SS. Giovanni e Paolo",,Arc. di Nuova York,ORDINE DEI DIACONI,37,37,out_of_scope_vatican,nb05_unmatched,
GIUSEPPE M. CARO RODRIGUEZ,"tit, SS. Giovanni e Paolo",,Arc. di Santiago del Cile,ORDINE DEI DIACONI,37,37,out_of_scope_vatican,nb05_unmatched,
CLEMENTE DE GOUVELA,S. Pietro in Vincoli,,Arc. di Lorenzo Marques,ORDINE DEI DIACONI,37,37,out_of_scope_vatican,nb05_unmatched,
EMANUELE CELESTINO SUHARD,S. Pietro in Vincoli,,Arc. di Parigi,tit. di S. Onofrio,37,37,out_of_scope_vatican,nb05_unmatched,
GIACOMO DE BARROS CAMARA,SS. Bonifacio e Alessio,,Arc. di S. Sebastiano de Rio de Janeiro,ORDINE DEI DIACONI,37,37,out_of_scope_vatican,nb05_unmatched,
GIACOMO LUIGI COPELLO,SS. Bonifacio e Alessio,,Arc. di Buenos Ayres,tit. di S. Girolamo degli Schiavoni,37,37,out_of_scope_vatican,nb05_unmatched,
ENRICO PLA Y DENIEL,"tit, S. Pietro in Montorio",,Arc. di Toledo,ORDINE DEI DIACONI,37,37,out_of_scope_vatican,nb05_unmatched,
EMANUELE ARTEAGA Y BETANCOURT,"tit, S. Pietro in Montorio",,Arc. di S. Cristoforo - Avana,tit. di S. Lorenzo in Lucina,37,37,out_of_scope_vatican,nb05_unmatched,
ADOMAITo GIOVANNI PIAZZA dei Carmelitani Scalzi,"tit, S. Pietro in Montorio",,Patriarca di Venezia,tit. di S. Prasso,37,37,out_of_scope_vatican,nb05_unmatched,
GIUSEPPE FRINGS,S. Giovanni a Porta Latina,,Arc. di Colonia,ORDINE DEI DIACONI,37,37,out_of_scope_vatican,nb05_unmatched,
GUALBERTO GIOVANNI GUEVARA,S. Giovanni a Porta Latina,,Arc. di Lima,tit. S. Eusebio,37,37,out_of_scope_vatican,nb05_unmatched,
PIETRO GERLIER,"tit, della SS. Trinità al Monte Pincio",,Arc. di Lione,ORDINE DEI DIACONI,37,37,out_of_scope_vatican,nb05_unmatched,
BERNARDO GRIFFIN,SS. Andrea e Gregorio al Monte Celio,,Arc. di Westminster,ORDINE DEI DIACONI,37,37,out_of_scope_vatican,nb05_unmatched,
EMANUELE ARCE Y OCHOTORENA,"SS. Vitale, Gervasio e Protaso",,Arc. di Tarragona,ORDINE DEI DIACONI,37,37,out_of_scope_vatican,nb05_unmatched,
GIUSEPPE MINDSZENTY,"SS. Vitale, Gervasio e Protaso",,Arc. di Strigonia,tit. S. Stefano al Monte Celio,37,37,out_of_scope_vatican,nb05_unmatched,
ERNESTO RUFFINI,Santa Sabina,,Arc. di Berlino,ORDINE DEI DIACONI,37,37,out_of_scope_vatican,nb05_unmatched,
CORRADO VON PREYSING,Santa Sabina,,Vescovo di Berlino,tit. di S. Agata dei Goti,37,37,out_of_scope_vatican,nb05_unmatched,
TOMMASO TIEN,S. Maria in Via,,Vicario Ap. di Tsing-Tao,ORDINE DEI DIACONI,37,37,out_of_scope_vatican,nb05_unmatched,
DI JORIO mons. ALBERTO,S. Maria in Via,,Sostituto ed Archivista,ORDINE DEI DIACONI,37,37,out_of_scope_vatican,nb05_unmatched,
Avv. Enrico De Nicola,,,Capo provvisorio dello Stato,,38,38,out_of_scope_rome_government,nb05_unmatched,
Dr. Alcide De Gasperi,,,Pres. del Consiglio,Dem. Crist.,38,38,out_of_scope_rome_government,nb05_unmatched,Min. dell'Interno
Dr. Pietro Nenni,,,ESTERI,Socialista,38,38,out_of_scope_rome_government,nb05_unmatched,
Avv. Fausto Gullo,,,GRAZIA E GIUSTIZIA,Comunista,38,38,out_of_scope_rome_government,nb05_unmatched,
Dr. Mauro Scoccimarro,,,FINANZE,Comunista,38,38,out_of_scope_rome_government,nb05_unmatched,
Dr. Giov. Battista Bertone,,,TESORO,Dem. Crist.,38,38,out_of_scope_rome_government,nb05_unmatched,
Avv. Cipriano Facchinetti,,,GUERRA,Repubblicano,38,38,out_of_scope_rome_government,nb05_unmatched,
