category_class_k10,"Construction, carpentry, chemicals, fuel & raw materials","Decorative arts, antiques & artisan crafts","Electrical, mechanical, industrial & automotive trades",Food & beverages,"Hospitality, dining & retail shops",Institutions & companies,"Legal, financial & administrative professions","Office equipment, stationery, printing, publishing & photography",Religious institutions & clergy,"Textiles, clothing, footwear, haberdashery & perfumery","Transport, shipping & maritime trades","Wholesale, agricultural & general commerce trades"
"Chemicals, fuel, construction materials & raw materials",483,24,14,89,1,1,10,7,0,24,2,23
"Culture, entertainment & leisure",0,0,0,1,0,0,0,18,0,0,0,0
"Decorative arts, photography, antiques & artisan crafts",185,414,3,54,5,8,27,146,0,33,7,71
"Food, grocery & hospitality trade",4,0,0,626,1032,45,34,5,0,8,0,518
Institutions/companies,2,1,1,5,39,40,7,13,106,0,9,1
"Legal, financial & administrative professions ",14,14,12,0,5,279,449,17,0,4,38,4
"Office equipment, electrical, mechanical & industrial trades",99,11,371,24,13,3,0,107,0,14,4,32
"Real estate, construction & business services",247,10,4,18,38,228,27,199,0,4,16,128
Religious institutions & clergy,0,0,0,0,0,2,1,0,30,0,0,0
"Textiles, clothing",26,128,65,221,283,2,3,111,0,1514,0,55
"Transport, shipping & maritime trades",2,0,17,25,1,7,3,0,0,0,734,20
general retail,2,0,3,6,7,1,4,1,0,10,1,4
