k,inertia,silhouette
5,767.5505389772784,0.023483230311567058
10,736.5374388051783,0.025289795879278258
15,711.2531750352753,0.03197029843943764
20,692.0001837829334,0.035087901382528534
25,678.6106675483161,0.03746473850860585
30,663.3136713747888,0.041112388365508186
35,653.5883364106957,0.04215175898970678
40,644.1240189922771,0.04331321242677789
45,636.1960938246712,0.04560682437514554
50,625.2148429609031,0.046248889131427925
55,617.4303920696067,0.046065308364157176
60,611.9854531563507,0.048379735459775614
