n_rows,count
Advertisement-dominated content,1040
"General commerce, real estate & advertising",853
Medical professions,814
Industrial & construction trades,558
"Visual, decorative & graphic arts",482
"Government, military & public administration",460
Religious & civic institutions,391
Retail trade & consumer goods,276
Governance & administrative titles,275
"Transport, maritime & communications",185
Education & academic institutions,179
"Legal, economic & administrative professions",168
"Institutions, press & sport",72
