file,page_num,value,address_before,action
unmatched_after_interpolation.csv,413,Castello numero 6249,Rio Marin 785,conflict_manual_review
unmatched_after_interpolation.csv,413,Castello numero 6249,San Giacomo dell'Orio 5586,conflict_manual_review
unmatched_after_interpolation.csv,413,Castello numero 6249,Calle Lunga S. Maria Formosa 8158-5283,conflict_manual_review
unmatched_after_interpolation.csv,413,Castello numero 6249,Calle Lunga S. Maria Formosa 8158-5283,conflict_manual_review
unmatched_after_interpolation.csv,413,Castello numero 6249,"Calle Lunga S. Maria Formosa 8158-5283, Carmini 3465",conflict_manual_review
unmatched_after_interpolation.csv,454,Cannaregio 461,Calle S. giuari 5184,conflict_manual_review
unmatched_after_interpolation.csv,455,Cannaregio 461,Ca' Steldi 2830,conflict_manual_review
unmatched_after_interpolation.csv,455,Cannaregio 461,San Leonardo 1841,conflict_manual_review
unmatched_after_interpolation.csv,455,Cannaregio 461,S. Lorenzo 5062,conflict_manual_review
unmatched_after_interpolation.csv,455,Cannaregio 461,S. Marina 5890,conflict_manual_review
unmatched_after_interpolation.csv,455,Cannaregio 461,Malcontenta 97,conflict_manual_review
unmatched_after_interpolation.csv,455,Cannaregio 461,S. Gernezia 256,conflict_manual_review
unmatched_after_interpolation.csv,455,Cannaregio 461,S. Gernezia 256,conflict_manual_review
unmatched_after_interpolation.csv,456,Cannaregio 461,"Bocca di Piazza, 1261-82",conflict_manual_review
unmatched_after_interpolation.csv,456,Cannaregio 461,Via Mazzeni 5116,conflict_manual_review
unmatched_after_interpolation.csv,457,Cannaregio 461,Campo regio 1227-A,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,134,San Marco 3870,San Marco 2283,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,140,Dorsoduro 855-B,S. Croce 782,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,149,Calle del Carbon 4177,"Cannaregio, Rio Terra Maddalena, 2064",conflict_manual_review
all_pages_20260721_1901_geocoded.csv,183,Castello 6231,S. Marco 1804,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,185,San Marco 2683,S. Marco fdm. Dal 376,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,197,Calle della Bissa 5475,Piazza Cesare Battisti 16,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,200,Via Marghera 105,Cannaregio 4927,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,206,Via Ospale le 12,"""S. Marco 4155""",conflict_manual_review
all_pages_20260721_1901_geocoded.csv,208,Via Piave 86,Dorsoduro 3110,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,221,Cannaregio 2325,San Marco 4261,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,221,Via Motto Grappa 4,S. Polo 1568,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,221,Via M. Bragadin 6,Castello 1340,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,221,Via F.lli Banidera 69,S. Polo 857,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,221,Via Cappuchina 45,"fond. Misericordia 2528, Cannaregio 5626-AD",conflict_manual_review
all_pages_20260721_1901_geocoded.csv,225,Via Mazzini 5110,"San Marco, 739",conflict_manual_review
all_pages_20260721_1901_geocoded.csv,270,Via Lorenzo Marcello 7,Cann. 1352,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,277,Via Cipr 7. 3,Castello 4682 A,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,280,Via Bellinato 3,Castello 5273,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,280,Via San Donà 142-B,D. Duro 3004,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,290,"Via Rosa, 22",San Marco 337,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,299,Via Girolamo 126,S. Marco 3192,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,332,Giudecca 21,Castello 460,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,352,Via Galupp 19,D. Duro 3462,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,353,Via G. Gozzi 10,San Marco 4836,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,357,Via Costa 10,S. Stefano n. 2807,conflict_manual_review
all_pages_20260721_1901_geocoded.csv,372,Castello 2158,S. Croce 756,conflict_manual_review
