category,frequency,cluster_id,category_name
Copisterie,1,0,"Textiles, clothing"
Cotoni e cascami,1,0,"Textiles, clothing"
"Stabilimento Serico Velluti, Soprarizzi, Broccati, Damaschi per Arredamento e chiesa. Passamanterie.",1,0,"Textiles, clothing"
Essiccatoi,1,0,"Textiles, clothing"
Commercio Filande per la trattatura della seta,1,0,"Textiles, clothing"
Lanerìe e seterie,1,0,"Textiles, clothing"
"Ricami artisti a mano, Laboratorio proprio, Negozio di vendita",1,0,"Textiles, clothing"
FABBRICA,1,0,"Textiles, clothing"
Modelli abiti signora,1,0,"Textiles, clothing"
Confezioni Pelliccerie,1,0,"Textiles, clothing"
Lavorazione profumerie,1,0,"Textiles, clothing"
Reti e articoli da pesca,1,0,"Textiles, clothing"
"Biancheria fine per signora finita e su commissioni, Corredi, Ricami a mano, di fronte Hotel Bonvecchiati",1,0,"Textiles, clothing"
Deposito stoffe,1,0,"Textiles, clothing"
Targhe,1,0,"Textiles, clothing"
Utensili e utensileria in genere,1,0,"Textiles, clothing"
maglieria,1,0,"Textiles, clothing"
Pellicce e Confezioni per Signora,1,0,"Textiles, clothing"
carpenterie,1,0,"Textiles, clothing"
cotoleria,1,0,"Textiles, clothing"
linge rie e maglierie,1,0,"Textiles, clothing"
Merceria,1,0,"Textiles, clothing"
maglierie negozio,1,0,"Textiles, clothing"
lingerie,1,0,"Textiles, clothing"
parrucchiere per signora e berbiere,1,0,"Textiles, clothing"
carta e stracci per cartiere,1,0,"Textiles, clothing"
pelle (lavor.e commercio),1,0,"Textiles, clothing"
capelliera,1,0,"Textiles, clothing"
confezioni Varie,1,0,"Textiles, clothing"
abiti confezioni,1,0,"Textiles, clothing"
calzificio,1,0,"Textiles, clothing"
macellaeria,1,0,"Textiles, clothing"
calzaturaio,1,0,"Textiles, clothing"
articoli da bagno,1,0,"Textiles, clothing"
Uff. di Magazzino,1,0,"Textiles, clothing"
Abbigliamento per Bambini e Ragazzi,1,0,"Textiles, clothing"
Sarto Da Uomo,1,0,"Textiles, clothing"
Parrucchiere per Signora,1,0,"Textiles, clothing"
coltelleria e arrotini,1,0,"Textiles, clothing"
drogherie,1,0,"Textiles, clothing"
utensili,1,0,"Textiles, clothing"
macchine da cucire e accessori,1,0,"Textiles, clothing"
saponi coloniali modici il *-promata,1,0,"Textiles, clothing"
calzaturifico,1,0,"Textiles, clothing"
pizzi e ricami,1,0,"Textiles, clothing"
"« Biasetto », mercerie, fliati e affini",1,0,"Textiles, clothing"
mercegie pellicceria,1,0,"Textiles, clothing"
profumeria e parrucchiere per signora,1,0,"Textiles, clothing"
"orificeria, gioielleria",1,0,"Textiles, clothing"
carrozzeria,1,0,"Textiles, clothing"
"Mercerie, filati e affini",1,0,"Textiles, clothing"
Lavanderia e Stireria,1,0,"Textiles, clothing"
manifattura,1,0,"Textiles, clothing"
Confezioni per signora,1,0,"Textiles, clothing"
Lavori in Falegnameria,1,0,"Textiles, clothing"
perle (lavorie i commercio),1,0,"Textiles, clothing"
"Alla Città di Scbio, Tessuti",1,0,"Textiles, clothing"
Abbigliamento uomo,1,0,"Textiles, clothing"
rappresentanze tessuti,1,0,"Textiles, clothing"
pelletterie (negozio),1,0,"Textiles, clothing"
lucido da scarpe,1,0,"Textiles, clothing"
Tipografia; Cartoleria,1,0,"Textiles, clothing"
Confezioni,1,0,"Textiles, clothing"
Mobili (negozio); Cartoleria,1,0,"Textiles, clothing"
Cappelleria,1,0,"Textiles, clothing"
Lingerie e maglie-ig.,1,0,"Textiles, clothing"
Mod.; Pellicerie,1,0,"Textiles, clothing"
coltelli e arrotini,1,0,"Textiles, clothing"
tappezziere c.,1,0,"Textiles, clothing"
lanerie e seterie,1,0,"Textiles, clothing"
maniffatura e,1,0,"Textiles, clothing"
tappeti,1,0,"Textiles, clothing"
faiegrieria,1,0,"Textiles, clothing"
Pelletterie,1,0,"Textiles, clothing"
pellicceria tessuti,1,0,"Textiles, clothing"
lavaderia e stierira,1,0,"Textiles, clothing"
chincaglieria,1,0,"Textiles, clothing"
"articoli casalinghi, cartoleria",1,0,"Textiles, clothing"
manifature,1,0,"Textiles, clothing"
"merceire, filati e affini",1,0,"Textiles, clothing"
lingería e maglierie mercerie filati,1,0,"Textiles, clothing"
"confezioni per uomo, impermanefili lingerie e maglierie",1,0,"Textiles, clothing"
mercerie filati,1,0,"Textiles, clothing"
cererie e prodotti affini,1,0,"Textiles, clothing"
"Confezioni Pellicceria, Deposito Pelli",1,0,"Textiles, clothing"
sartola confezioni per uomo,1,0,"Textiles, clothing"
"Rappresentante tessuti, confezioni, liniti",1,0,"Textiles, clothing"
"Specialità venoziane, pelletterie",1,0,"Textiles, clothing"
"Legnime, mercerie, filat e affini",1,0,"Textiles, clothing"
fatto da uomo,1,0,"Textiles, clothing"
calzaturficio,1,0,"Textiles, clothing"
"Magasin de Paris, Sartoria, Confezioni e Lingerie di Lusso",1,0,"Textiles, clothing"
"fiori, piante e sementi",1,0,"Textiles, clothing"
perle (produtt. e commercio),1,0,"Textiles, clothing"
mercerie e filati,1,0,"Textiles, clothing"
"mercerie, afiat e affini",1,0,"Textiles, clothing"
Produzione e Lavorazione vetro per Soffierie,1,0,"Textiles, clothing"
manifatture tessuti,1,0,"Textiles, clothing"
"cartoleria, libreria",1,0,"Textiles, clothing"
"terrazze porcellane, detersivi, saponi, affini (vendita)",1,0,"Textiles, clothing"
bottigliecia,1,0,"Textiles, clothing"
fiori piante e sementi,1,0,"Textiles, clothing"
modista,1,0,"Textiles, clothing"
tappeti (negozio),1,0,"Textiles, clothing"
Sarto da Uomo,1,0,"Textiles, clothing"
Rappresentante tessuti,1,0,"Textiles, clothing"
"prodotti antisettícu-genici, inchiostri",1,0,"Textiles, clothing"
lucido da Scarpe,1,0,"Textiles, clothing"
sarta; e a confezioni per bambini,1,0,"Textiles, clothing"
mercerie filati ed affini,1,0,"Textiles, clothing"
lavanderia e stalleria,1,0,"Textiles, clothing"
maglieria biancheria (negozio),1,0,"Textiles, clothing"
forniture,1,0,"Textiles, clothing"
"merce nelia, filati e affini",1,0,"Textiles, clothing"
"merce-ria, filati e affini",1,0,"Textiles, clothing"
"argenteria, oreficeria, gioiellerie",1,0,"Textiles, clothing"
"saccheria, azzettaii e santi",1,0,"Textiles, clothing"
"orologeria, oreficeria, gioielleri",1,0,"Textiles, clothing"
"perle (produtt, e commercio)",1,0,"Textiles, clothing"
