total,matched,pct,no_num,no_loc,not_in_ref,ambiguous,page_num,section
74,63,85.1,0,0,11,0,350,indice_generale
75,58,77.3,0,9,5,3,351,indice_generale
64,32,50.0,0,22,9,1,352,indice_generale
72,53,73.6,0,12,6,1,353,indice_generale
66,51,77.3,0,3,5,7,354,indice_generale
69,58,84.1,0,0,5,6,355,indice_generale
68,56,82.4,0,9,2,1,356,indice_generale
62,47,75.8,0,3,8,4,357,indice_generale
76,40,52.6,0,29,5,2,358,indice_generale
61,42,68.9,0,9,7,3,359,indice_generale
68,51,75.0,0,2,12,3,360,indice_generale
66,59,89.4,0,0,4,3,361,indice_generale
64,39,60.9,0,11,9,5,362,indice_generale
69,45,65.2,0,4,16,4,363,indice_generale
63,55,87.3,0,0,5,3,364,indice_generale
62,38,61.3,0,15,4,5,365,indice_generale
71,37,52.1,0,27,6,1,366,indice_generale
69,43,62.3,0,22,2,2,367,indice_generale
76,45,59.2,0,25,0,6,368,indice_generale
72,40,55.6,0,23,2,7,369,indice_generale
43,13,30.2,0,23,6,1,370,indice_generale
69,43,62.3,0,20,4,2,371,indice_generale
59,37,62.7,0,19,0,3,372,indice_generale
59,31,52.5,0,19,8,1,373,indice_generale
61,50,82.0,0,9,1,1,374,indice_generale
68,38,55.9,0,22,6,2,375,indice_generale
64,24,37.5,0,26,6,8,376,indice_generale
65,29,44.6,0,31,2,2,377,indice_generale
69,33,47.8,0,30,5,1,378,indice_generale
75,40,53.3,0,25,9,3,379,indice_generale
68,38,55.9,0,20,7,3,380,indice_generale
68,35,51.5,0,28,4,1,381,indice_generale
74,49,66.2,0,13,7,6,382,indice_generale
73,46,63.0,0,17,9,3,383,indice_generale
66,45,68.2,0,14,6,1,384,indice_generale
59,29,49.2,0,28,2,0,385,indice_generale
66,29,43.9,0,25,9,3,386,indice_generale
57,17,29.8,0,33,2,5,387,indice_generale
71,39,54.9,0,23,6,3,388,indice_generale
72,41,56.9,0,22,4,5,389,indice_generale
56,25,44.6,0,22,6,3,390,indice_generale
67,35,52.2,0,26,2,4,391,indice_generale
61,30,49.2,0,23,7,3,392,indice_generale
68,39,57.4,0,20,7,2,393,indice_generale
68,29,42.6,0,32,6,1,394,indice_generale
61,27,44.3,0,24,1,9,395,indice_generale
66,29,43.9,0,34,2,1,396,indice_generale
59,25,42.4,0,26,5,3,397,indice_generale
68,27,39.7,0,35,5,1,398,indice_generale
72,34,47.2,0,31,2,5,399,indice_generale
70,41,58.6,0,22,4,3,400,indice_generale
73,41,56.2,0,27,3,2,401,indice_generale
78,43,55.1,0,26,6,3,402,indice_generale
67,29,43.3,0,31,5,2,403,indice_generale
69,36,52.2,0,24,6,3,404,indice_generale
47,26,55.3,0,13,6,2,405,indice_generale
56,40,71.4,0,15,2,0,406,indice_generale
54,28,51.9,0,23,1,2,407,indice_generale
65,40,61.5,0,15,7,3,408,indice_generale
67,44,65.7,0,19,3,2,409,indice_generale
71,33,46.5,0,35,1,2,410,indice_generale
68,34,50.0,0,29,3,2,411,indice_generale
69,32,46.4,0,29,8,0,412,indice_generale
56,26,46.4,0,24,6,1,413,indice_generale
70,45,64.3,0,13,10,2,414,indice_generale
64,34,53.1,0,21,9,0,415,indice_generale
74,32,43.2,0,29,11,2,416,indice_generale
71,44,62.0,0,25,0,2,417,indice_generale
69,38,55.1,0,23,5,3,418,indice_generale
65,28,43.1,0,26,8,3,419,indice_generale
64,26,40.6,0,28,3,7,420,indice_generale
62,35,56.5,0,20,3,4,421,indice_generale
66,39,59.1,0,23,1,3,422,indice_generale
67,30,44.8,0,33,4,0,423,indice_generale
58,21,36.2,0,28,7,2,424,indice_generale
70,43,61.4,0,21,4,2,425,indice_generale
68,26,38.2,0,33,7,2,426,indice_generale
58,32,55.2,0,20,6,1,427,indice_generale
53,24,45.3,0,24,4,1,428,indice_generale
74,46,62.2,0,20,2,7,429,indice_generale
67,40,59.7,0,22,3,2,430,indice_generale
64,24,37.5,0,36,3,1,431,indice_generale
73,39,53.4,0,23,10,3,432,indice_generale
66,30,45.5,0,29,3,4,433,indice_generale
70,34,48.6,0,20,11,5,434,indice_generale
74,40,54.1,0,24,7,3,435,indice_generale
66,37,56.1,0,22,5,3,436,indice_generale
66,32,48.5,0,29,3,2,437,indice_generale
73,38,52.1,0,27,6,2,438,indice_generale
73,36,49.3,0,27,5,5,439,indice_generale
60,25,41.7,0,26,4,5,440,indice_generale
56,25,44.6,0,27,4,0,441,indice_generale
65,37,56.9,0,21,7,0,442,indice_generale
61,25,41.0,0,30,5,1,443,indice_generale
63,23,36.5,0,36,1,3,444,indice_generale
76,35,46.1,0,32,4,8,445,indice_generale
69,33,47.8,0,26,6,4,446,indice_generale
71,35,49.3,0,24,9,3,447,indice_generale
60,43,71.7,0,11,2,4,448,indice_generale
58,32,55.2,0,9,12,5,449,indice_generale
65,34,52.3,0,24,5,2,450,indice_generale
74,25,33.8,0,38,7,4,451,indice_generale
65,29,44.6,0,30,5,1,452,indice_generale
71,26,36.6,0,33,11,1,453,indice_generale
61,36,59.0,0,16,6,3,454,indice_generale
72,49,68.1,0,19,2,2,455,indice_generale
65,28,43.1,0,27,5,5,456,indice_generale
59,43,72.9,0,3,4,9,457,indice_generale
47,21,44.7,0,25,1,0,458,indice_generale
52,26,50.0,0,22,2,2,459,indice_generale
49,25,51.0,0,22,1,1,460,indice_generale
53,28,52.8,0,18,4,3,461,indice_generale
51,33,64.7,0,11,5,3,462,indice_generale
58,38,65.5,0,17,4,1,463,indice_generale
47,28,59.6,0,13,1,5,464,indice_generale
50,30,60.0,0,14,7,1,465,indice_generale
65,32,49.2,0,26,5,2,466,indice_generale
62,25,40.3,0,27,9,2,467,indice_generale
57,30,52.6,0,17,5,5,468,indice_generale
46,20,43.5,0,19,8,0,469,indice_generale
69,32,46.4,0,27,7,3,470,indice_generale
72,24,33.3,0,40,7,1,471,indice_generale
67,38,56.7,0,21,4,4,472,indice_generale
75,28,37.3,0,37,5,5,473,indice_generale
67,37,55.2,0,22,7,1,474,indice_generale
60,31,51.7,0,20,5,4,475,indice_generale
65,40,61.5,0,20,4,1,476,indice_generale
60,27,45.0,0,23,9,1,477,indice_generale
66,25,37.9,0,33,3,5,478,indice_generale
66,40,60.6,0,23,3,0,479,indice_generale
74,36,48.6,0,24,5,9,480,indice_generale
73,34,46.6,0,30,4,4,481,indice_generale
70,38,54.3,0,22,2,8,482,indice_generale
64,29,45.3,0,25,11,0,483,indice_generale
67,35,52.2,0,31,1,0,484,indice_generale
69,28,40.6,0,32,3,6,485,indice_generale
72,39,54.2,0,25,5,3,486,indice_generale
67,33,49.3,0,26,5,3,487,indice_generale
1,1,100.0,0,0,0,0,488,other
8,8,100.0,0,0,0,0,489,other
1,1,100.0,0,0,0,0,572,other
1,0,0.0,0,1,0,0,573,other
3,0,0.0,0,3,0,0,574,other
3,0,0.0,0,2,1,0,575,other
