k,inertia,silhouette
5,752.6655964846261,0.02321818448716192
10,721.566769190259,0.02514776705376353
15,697.8604872213396,0.02910724398720178
20,679.5013399335007,0.03438481392438248
25,663.9197464076522,0.03537269907990396
30,649.5250833553944,0.0397684632728936
35,640.6916047469425,0.04111714622117731
40,629.3039579720511,0.04495793305865769
45,621.9924848106084,0.044841213568297594
50,613.6315378498526,0.04758015872714122
55,604.4666977384154,0.04518067529793147
60,598.1249690086377,0.047254713446968334
