category_value,override_name,cluster_id,default_name_would_have_been
vetria,"Decorative arts, photography, antiques & artisan crafts",2,general retail
Vetreria,"Decorative arts, photography, antiques & artisan crafts",2,general retail
vetreria,"Decorative arts, photography, antiques & artisan crafts",2,general retail
pittrice,"Decorative arts, photography, antiques & artisan crafts",2,general retail
ottica,"Decorative arts, photography, antiques & artisan crafts",2,general retail
terraglie,"Decorative arts, photography, antiques & artisan crafts",2,general retail
Vetri neutri,"Decorative arts, photography, antiques & artisan crafts",2,general retail
Strti da uomo,"Textiles, clothing",2,general retail
sarta,"Textiles, clothing",2,general retail
Sarte,"Textiles, clothing",2,general retail
Sarta,"Textiles, clothing",2,general retail
sarto,"Textiles, clothing",2,general retail
barbiere,"Textiles, clothing",2,general retail
Barbieri,"Textiles, clothing",2,general retail
Barbiere,"Textiles, clothing",2,general retail
barbieri,"Textiles, clothing",2,general retail
mercerie,"Textiles, clothing",2,general retail
Seterie,"Textiles, clothing",2,general retail
oreficeria,"Textiles, clothing",2,general retail
Argenterie,"Textiles, clothing",2,general retail
Modisterie,"Textiles, clothing",2,general retail
Modisteria,"Textiles, clothing",2,general retail
modisteria,"Textiles, clothing",2,general retail
CARTA,"Textiles, clothing",2,general retail
Carta,"Textiles, clothing",2,general retail
carta,"Textiles, clothing",2,general retail
fiori,"Textiles, clothing",2,general retail
Fiori,"Textiles, clothing",2,general retail
Perle,"Textiles, clothing",2,general retail
Mode,"Textiles, clothing",2,general retail
mode,"Textiles, clothing",2,general retail
orologeria,"Textiles, clothing",2,general retail
libreria,"Textiles, clothing",2,general retail
Pelli,"Textiles, clothing",2,general retail
pellami,"Textiles, clothing",2,general retail
pellami e cuoi,"Textiles, clothing",2,general retail
Bazar,"Textiles, clothing",2,general retail
IMPERMEABILI,"Textiles, clothing",2,general retail
Pantofolai,"Textiles, clothing",2,general retail
Ombrelli,"Textiles, clothing",2,general retail
Filande,"Textiles, clothing",2,general retail
setorie e lanerie,"Textiles, clothing",2,general retail
Lane e crine,"Textiles, clothing",2,general retail
Telerie,"Textiles, clothing",2,general retail
Stracci,"Textiles, clothing",2,general retail
Sementi,"Textiles, clothing",2,general retail
calze,"Textiles, clothing",2,general retail
valigerie,"Textiles, clothing",2,general retail
Refrettari,"Chemicals, fuel, construction materials & raw materials",2,general retail
Petrolio,"Chemicals, fuel, construction materials & raw materials",2,general retail
Catrame,"Chemicals, fuel, construction materials & raw materials",2,general retail
Semi oleosi,"Chemicals, fuel, construction materials & raw materials",2,general retail
Sughero,"Chemicals, fuel, construction materials & raw materials",2,general retail
Acciai,"Chemicals, fuel, construction materials & raw materials",2,general retail
Bitumi,"Chemicals, fuel, construction materials & raw materials",2,general retail
Gas,"Chemicals, fuel, construction materials & raw materials",2,general retail
Zolfo,"Chemicals, fuel, construction materials & raw materials",2,general retail
Ghisa,"Chemicals, fuel, construction materials & raw materials",2,general retail
Olii,"Chemicals, fuel, construction materials & raw materials",2,general retail
Bandiere,"Chemicals, fuel, construction materials & raw materials",2,general retail
trebbiatura,"Chemicals, fuel, construction materials & raw materials",2,general retail
Coltellinai e Arrotini,"Office equipment, electrical, mechanical & industrial trades",2,general retail
coltellinaio e arrotino,"Office equipment, electrical, mechanical & industrial trades",2,general retail
ing.,"Office equipment, electrical, mechanical & industrial trades",2,general retail
Frigoriferi,"Office equipment, electrical, mechanical & industrial trades",2,general retail
Bilancie,"Office equipment, electrical, mechanical & industrial trades",2,general retail
Calderai,"Office equipment, electrical, mechanical & industrial trades",2,general retail
Lamiere,"Office equipment, electrical, mechanical & industrial trades",2,general retail
radio,"Office equipment, electrical, mechanical & industrial trades",2,general retail
pianoforti,"Office equipment, electrical, mechanical & industrial trades",2,general retail
Tipografie,"Office equipment, electrical, mechanical & industrial trades",2,general retail
tipografia,"Office equipment, electrical, mechanical & industrial trades",2,general retail
Tipografia,"Office equipment, electrical, mechanical & industrial trades",2,general retail
STABILIMENTO GRAFICO,"Office equipment, electrical, mechanical & industrial trades",2,general retail
Zincografia,"Office equipment, electrical, mechanical & industrial trades",2,general retail
Giornali,"Office equipment, electrical, mechanical & industrial trades",2,general retail
giornali,"Office equipment, electrical, mechanical & industrial trades",2,general retail
Materassai,"Real estate, construction & business services",2,general retail
Terrrazzi,"Real estate, construction & business services",2,general retail
murari,"Real estate, construction & business services",2,general retail
rettore,Institutions/companies,2,general retail
Cinema,"Culture, entertainment & leisure",2,general retail
cinema,"Culture, entertainment & leisure",2,general retail
Teatri,"Culture, entertainment & leisure",2,general retail
Filatelico,"Culture, entertainment & leisure",2,general retail
parroco,Religious institutions & clergy,2,general retail
Parroco,Religious institutions & clergy,2,general retail
Arciprete,Religious institutions & clergy,2,general retail
arciprete,Religious institutions & clergy,2,general retail
pm. Patriarcale,Religious institutions & clergy,2,general retail
arpicprete Basilica di San Marco,Religious institutions & clergy,3,Institutions/companies
arciprete Basilica di S. Marco,Religious institutions & clergy,3,Institutions/companies
parroco S. Maria Elisabetta di Lido,Religious institutions & clergy,3,Institutions/companies
"parroco, S. Giacomo dall’Orio",Religious institutions & clergy,3,Institutions/companies
parroco S. Maria del Gi glio,Religious institutions & clergy,3,Institutions/companies
parroco Treporti,Religious institutions & clergy,3,Institutions/companies
Purroco San Polo Apostolo,Religious institutions & clergy,3,Institutions/companies
Parocco,Religious institutions & clergy,3,Institutions/companies
"Geriatrico del Seminario Patriarcale, Santa Maria della Salute",Religious institutions & clergy,3,Institutions/companies
Basilica di S. Marco,Religious institutions & clergy,3,Institutions/companies
Basilica di San Marco,Religious institutions & clergy,3,Institutions/companies
Vescovo Ausiliare,Religious institutions & clergy,4,"Legal, financial & administrative professions "
Comunità Israelitica,Religious institutions & clergy,4,"Legal, financial & administrative professions "
Cerioniero del Patriarcato,Religious institutions & clergy,4,"Legal, financial & administrative professions "
vicario,Religious institutions & clergy,4,"Legal, financial & administrative professions "
Vicario,Religious institutions & clergy,4,"Legal, financial & administrative professions "
"vicario S. Leone, (S. Lio)",Religious institutions & clergy,4,"Legal, financial & administrative professions "
vicario S. Barnaba,Religious institutions & clergy,4,"Legal, financial & administrative professions "
Vicario S. Sofia,Religious institutions & clergy,4,"Legal, financial & administrative professions "
curato autonomo,Religious institutions & clergy,4,"Legal, financial & administrative professions "
Manifesture,"Textiles, clothing",2,general retail
Libreria,"Textiles, clothing",2,general retail
abbiagliamento,"Textiles, clothing",2,general retail
Orologeria,"Textiles, clothing",2,general retail
pelliche,"Textiles, clothing",2,general retail
ombrelli,"Textiles, clothing",2,general retail
perle,"Textiles, clothing",2,general retail
Vestiario,"Textiles, clothing",2,general retail
Divise,"Textiles, clothing",2,general retail
divise,"Textiles, clothing",2,general retail
Filanda,"Textiles, clothing",2,general retail
lavandiera,"Textiles, clothing",2,general retail
Penna,"Textiles, clothing",2,general retail
Bottegon,"Textiles, clothing",2,general retail
Acqua di colonia,"Textiles, clothing",2,general retail
Fibre autarchiche,"Textiles, clothing",2,general retail
tessanti,"Textiles, clothing",2,general retail
Merletta e cirmi,"Textiles, clothing",2,general retail
cappelleria,"Textiles, clothing",2,general retail
liagerie,"Textiles, clothing",2,general retail
cinzieria,"Textiles, clothing",2,general retail
calcature,"Textiles, clothing",2,general retail
cralrature,"Textiles, clothing",2,general retail
chincaglie,"Textiles, clothing",2,general retail
ca-toleria,"Textiles, clothing",2,general retail
sa to da uomo,"Textiles, clothing",2,general retail
argenteria orologeria,"Textiles, clothing",2,general retail
Laboratorio orologeria,"Textiles, clothing",2,general retail
orologiaio,"Textiles, clothing",2,general retail
oreccheria,"Textiles, clothing",2,general retail
orefici,"Textiles, clothing",2,general retail
orefaceri,"Textiles, clothing",2,general retail
ore-fiseria,"Textiles, clothing",2,general retail
orefice'ia,"Textiles, clothing",2,general retail
orefacreia,"Textiles, clothing",2,general retail
mercer.,"Textiles, clothing",2,general retail
merce verie,"Textiles, clothing",2,general retail
merce'cie,"Textiles, clothing",2,general retail
merce- rie,"Textiles, clothing",2,general retail
mererce,"Textiles, clothing",2,general retail
micelleria,"Textiles, clothing",2,general retail
cartolexia,"Textiles, clothing",2,general retail
carta (grossiuita),"Textiles, clothing",2,general retail
carta da macera,"Textiles, clothing",2,general retail
Cartotecnica,"Textiles, clothing",2,general retail
valigeria,"Textiles, clothing",2,general retail
pellami e cuoi a,"Textiles, clothing",2,general retail
pellami e cuolo,"Textiles, clothing",2,general retail
Pellami e cuoi,"Textiles, clothing",2,general retail
pellicterie,"Textiles, clothing",2,general retail
pelli,"Textiles, clothing",2,general retail
pelterie,"Textiles, clothing",2,general retail
lavandoria e steria,"Textiles, clothing",2,general retail
barberie,"Textiles, clothing",2,general retail
parru1chiera,"Textiles, clothing",2,general retail
fiati ed affini,"Textiles, clothing",2,general retail
Armonium,"Textiles, clothing",2,general retail
imbarchi e sbarchi,"Transport, shipping & maritime trades",2,general retail
imbarcbi e subarbe,"Transport, shipping & maritime trades",2,general retail
squero,"Transport, shipping & maritime trades",2,general retail
sguero,"Transport, shipping & maritime trades",2,general retail
automoleggio,"Transport, shipping & maritime trades",2,general retail
recuperi,"Transport, shipping & maritime trades",2,general retail
facchini | publici,"Transport, shipping & maritime trades",2,general retail
Marittimi,"Transport, shipping & maritime trades",2,general retail
cordami,"Transport, shipping & maritime trades",2,general retail
Lloyd’s Agen.,"Transport, shipping & maritime trades",2,general retail
Piloti,"Transport, shipping & maritime trades",2,general retail
piloti,"Transport, shipping & maritime trades",2,general retail
Palombari,"Transport, shipping & maritime trades",2,general retail
palombari,"Transport, shipping & maritime trades",2,general retail
autoscuola,Institutions/companies,2,general retail
nettezza urbana,Institutions/companies,2,general retail
consigliere,Institutions/companies,2,general retail
scuola,Institutions/companies,2,general retail
polizia rifiori,Institutions/companies,2,general retail
Municipio,Institutions/companies,2,general retail
Recordi ferroviari,Institutions/companies,2,general retail
incendiere,Institutions/companies,2,general retail
usciere,Institutions/companies,2,general retail
l'attrice,"Legal, financial & administrative professions ",2,general retail
geometra,"Legal, financial & administrative professions ",2,general retail
insegnanter,"Legal, financial & administrative professions ",2,general retail
notato,"Legal, financial & administrative professions ",2,general retail
notai1o,"Legal, financial & administrative professions ",2,general retail
Detective,"Legal, financial & administrative professions ",2,general retail
ingg.,"Legal, financial & administrative professions ",2,general retail
arw.,"Legal, financial & administrative professions ",2,general retail
chirurg,"Legal, financial & administrative professions ",2,general retail
rappresantanze varie,"Legal, financial & administrative professions ",2,general retail
raprresentante,"Legal, financial & administrative professions ",2,general retail
Espurgo pozzi neri,"Real estate, construction & business services",2,general retail
murtori,"Real estate, construction & business services",2,general retail
macerie,"Real estate, construction & business services",2,general retail
petrolio,"Chemicals, fuel, construction materials & raw materials",2,general retail
Imballaggii,"Chemicals, fuel, construction materials & raw materials",2,general retail
minio,"Chemicals, fuel, construction materials & raw materials",2,general retail
Turaccioli,"Chemicals, fuel, construction materials & raw materials",2,general retail
calce e laterizzi,"Chemicals, fuel, construction materials & raw materials",2,general retail
Calce,"Chemicals, fuel, construction materials & raw materials",2,general retail
Ghiaia,"Chemicals, fuel, construction materials & raw materials",2,general retail
Gres,"Chemicals, fuel, construction materials & raw materials",2,general retail
Cave,"Chemicals, fuel, construction materials & raw materials",2,general retail
sughero,"Chemicals, fuel, construction materials & raw materials",2,general retail
Insetticidi,"Chemicals, fuel, construction materials & raw materials",2,general retail
INSETTICIDI,"Chemicals, fuel, construction materials & raw materials",2,general retail
INSETTICIDA,"Chemicals, fuel, construction materials & raw materials",2,general retail
Eraclit,"Chemicals, fuel, construction materials & raw materials",2,general retail
Rodio,"Chemicals, fuel, construction materials & raw materials",2,general retail
Panelli,"Chemicals, fuel, construction materials & raw materials",2,general retail
Sego,"Chemicals, fuel, construction materials & raw materials",2,general retail
carbonia,"Chemicals, fuel, construction materials & raw materials",2,general retail
Nichelatura,"Chemicals, fuel, construction materials & raw materials",2,general retail
rigattatoi,"Decorative arts, photography, antiques & artisan crafts",2,general retail
bigiotterie,"Decorative arts, photography, antiques & artisan crafts",2,general retail
