category_value,override_name,cluster_id,default_name_would_have_been
S. Marco 1393 e Marghera,,3,Institutions/companies
S. M. Elisabetta 31,,3,Institutions/companies
Piazzale Stazione,,3,Institutions/companies
S. Pietro Apostolo,,3,Institutions/companies
Via L. Manvrello,,3,Institutions/companies
S. Lucia,,3,Institutions/companies
Favaro Veneto Campalto,,3,Institutions/companies
S. Giuliano.,,3,Institutions/companies
Calle Larga S. Marco,,3,Institutions/companies
Giudecca,,3,Institutions/companies
S. Maria della Presentazione (Zitelle),,3,Institutions/companies
S. Maria Gloriosa dei Frari,,3,Institutions/companies
S. Marco Piazza Riva S. Chiara,,3,Institutions/companies
Piazzale Roma,,3,Institutions/companies
Calle Larga San Marco,,3,Institutions/companies
S. Bartolomeo,,3,Institutions/companies
Calle del Mistro,,3,Institutions/companies
S. Marco 4292,,3,Institutions/companies
"Via Galuppi, Burano",,3,Institutions/companies
S. Giovanni Decollato,,3,Institutions/companies
"Piazza Umberto 69, Via Piave 72",,3,Institutions/companies
Murano fdn. Santi 9,,3,Institutions/companies
S. Marco 1119-20,,3,Institutions/companies
Riva Schiavoni,,3,Institutions/companies
Marco 7,,3,Institutions/companies
Piazzale S. M. Elisabetta 21,,3,Institutions/companies
S. Pietro in Volto,,3,Institutions/companies
S. Polo 2380,,3,Institutions/companies
S. Polo 1421-A,,3,Institutions/companies
S. Marco 570,,3,Institutions/companies
S. Polo 2355,,3,Institutions/companies
S. Angelo 3880,,3,Institutions/companies
S. Angelo 3538,,3,Institutions/companies
"San Trovasso, Palazzo Giustinian",,3,Institutions/companies
"S. Trovasso, Palazzo Giustinian",,3,Institutions/companies
Favaro Veneto Dese,,3,Institutions/companies
Riva Schiavoni 4207,,3,Institutions/companies
S. Polo 1418,,3,Institutions/companies
Via Rosa,,3,Institutions/companies
S. Croce 772,,3,Institutions/companies
Corso del Popolo 28,,3,Institutions/companies
"Riva del Carboni ""Palazzo Benlo",,3,Institutions/companies
Via Pasqualegio,,3,Institutions/companies
"S. Marco, numero 367",,3,Institutions/companies
"Chioggia, Calle Gradasa 4716",,3,Institutions/companies
San Angelo 2984,,3,Institutions/companies
Mestre Piazza Umberto Primo,,3,Institutions/companies
S. Maria degli Angeli (Murano),,3,Institutions/companies
VENEZIA,,3,Institutions/companies
MILANO,,3,Institutions/companies
San Giovanni e Paolo,,3,Institutions/companies
Piazzale Roma 497,,3,Institutions/companies
Zattere 1406,,3,Institutions/companies
S. Marco 597-B,,3,Institutions/companies
S. Luca 1578-C,,3,Institutions/companies
S. Maria delle Penitenti,,3,Institutions/companies
S. Lodo. vico (S. Alvise),,3,Institutions/companies
S. Marco numero 1321,,3,Institutions/companies
Ponte dell’ Olivo,,3,Institutions/companies
numero 4514,,3,Institutions/companies
