occupation_category_k10,Business & financial institutions,"Construction, carpentry & building materials",Education & academic institutions,"Fashion, textiles & personal goods retail","Governance, civic administration & institutional titles",Industrial & electrical trades,Legal & accounting professions,"Maritime, shipping & transport",Medical professions,Religious & civic institutions,"Restaurants, cafés & retail shops","Visual, decorative arts & antiques",Wholesale & agricultural suppliers
Education & academic institutions,11.2,0.0,60.5,0.0,5.3,0.7,13.8,3.9,3.9,0.0,0.7,0.0,0.0
"Fashion, textiles & personal goods retail",0.1,0.6,0.0,78.6,0.5,6.1,0.0,0.6,2.3,0.0,5.0,2.8,3.4
"Food, grocery & pharmacy retail",0.1,0.2,0.0,0.2,0.1,0.6,0.0,1.1,11.7,0.0,51.5,0.8,34.0
General commerce & advertising,21.5,2.3,0.8,0.4,9.6,3.1,0.6,18.3,36.2,0.1,0.8,5.4,1.0
"Governance, civic administration & institutional titles",5.2,0.3,0.3,0.0,78.8,0.4,4.2,3.5,3.3,2.7,0.3,0.8,0.2
Hospitality & dining,2.3,0.5,0.2,0.5,2.7,0.6,0.0,1.4,13.0,2.7,72.2,0.7,3.3
"Industrial, technical & construction trades",0.5,29.1,0.1,3.6,0.4,51.7,0.0,1.0,3.5,0.0,0.7,4.7,4.6
Legal & professional titles,3.9,0.0,0.0,0.0,22.1,0.2,73.5,0.0,0.2,0.0,0.0,0.0,0.0
"Maritime, shipping & transport",0.5,5.3,0.0,0.4,0.3,1.4,0.0,89.8,1.8,0.0,0.2,0.1,0.2
Medical professions,1.0,0.0,0.0,0.0,4.9,3.4,0.0,0.0,89.7,0.0,1.0,0.0,0.0
"Property, banking & insurance businesses",99.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Religious & civic institutions,4.9,0.0,0.0,0.0,26.5,0.0,0.0,0.0,0.0,55.6,2.5,6.8,3.7
Retail trade & consumer goods,9.9,11.5,1.2,9.5,4.7,12.7,0.4,4.4,19.8,1.2,5.0,5.6,14.2
"Visual, decorative arts & antiques",0.0,6.3,0.4,14.9,2.6,7.3,0.0,1.5,4.4,0.0,0.1,62.4,0.2
